SampleID	Size fraction (mm)	PCRID	Sample 	Extraction date	Extraction method	Tube (mL)	TubeWeight (mg)	TubeInsectWeight (mg)	Insect volume (mL)	Amount of insects	DNA Buffer volume added (mL)	Supernatant volume (mL)	Dry mass (mg)	QIAquick purification date	QIASymphony purification date	Qubit (HS) DNA (ng/µl) qiaquick	Qubit (BR) DNA (ng/µl) qiaquick	Qubit (HS) DNA (ng/µl) qiasymphony	Qubit (BR) DNA (ng/µl) qiasymphony	Qubit samples size (µL)	Qubit date qiaquick	Qubit (BR) date qiaquick	Qubit date qiasymphony	Qubit (BR) date qiasymphony	Notes	
SØ_mark1_12_15	>10	IM17_56	Malaise	22-10-2018	Non-destructive	15			1	2	5	4.7	15.8			5.39		2.92		2			30-11-2018		1 male Panorpida, 1 syrphidae	
ExBlank_23102018		IM17_57	ExBlank	23-10-2018	Non-destructive	15					2	2				too low		too low		2			30-11-2018			
SØ_skov2_17_20	<10	IM17_58	Car net	23-10-2018	Non-destructive	15			1		6	5.5				too high	86.1	too high	94.1	2		04-01-2019	30-11-2018	04-01-2019		
SØ_skov1_12_15	<10	IM17_59	Car net	23-10-2018	Non-destructive	15			1		6	5.5				49.8		49.0		2			30-11-2018			
SØ_skov1_12_15	>10	IM17_60	Car net	23-10-2018	Non-destructive	15			0.5	1	4.5	4.5				7.15		4.09		2			30-11-2018		1 diptera	
SØ_mark1_12_15	<10	IM17_61	Car net	23-10-2018	Non-destructive	15			1		5.5	5.5				55.0		52.0		2			30-11-2018			
SØ_mark1_12_15	>10	IM17_62	Car net	23-10-2018	Non-destructive	15			1	3	6	5.7				5.51		3.97		2			30-11-2018		1 Pieris rapae or Gonepteryx rhamni, 1 syrphidae, 1 staphylinidae	
SØ_mark2_17_20	<10	IM17_63	Car net	23-10-2018	Non-destructive	15			0.5		4.5	4.5				18.4		9.04		2			30-11-2018			
SØ_mark2_17_20	>10	IM17_64	Car net	23-10-2018	Non-destructive	15			0.5	1	4.5	4.3				9.12		5.82		2			30-11-2018		1 Bombus or Andrena	
GS_skov_17_20	<10	IM17_65	Car net	20-11-2018	Non-destructive	15	6388.6	6517.74	2		7	6.5	129.14		03-01-2019			41					04-01-2019			
GS_skov_17_20	>10	IM17_66	Car net	20-11-2018	Non-destructive	15	6390.3	6435.32	0.5	1	4.5	4.5	45.02		03-01-2019			1.66					04-01-2019		1 Bombus	
GS_mark_17_20	<10	IM17_67	Car net	20-11-2018	Non-destructive	15	6335.6	6381.62	0.5		4.5	4.5	46.02		03-01-2019			14.8					04-01-2019		1 Coccinellidae	
GS_mark_17_20	>10	IM17_68	Car net	20-11-2018	Non-destructive	15	6129.2	6175.58	1	2	6	6	46.38		03-01-2019			1.18					04-01-2019		2 Vespidae	
GS_skov_12_15	<10	IM17_69	Car net	20-11-2018	Non-destructive	15	6370.2	6463.2	1		6	5.5	93		03-01-2019			33.3					04-01-2019		2 Tabanidae, 1 Odonata (head, abdomen detached), 1 Bombus, 1 fly (Bibionidae?)	
GS_skov_12_15	>10	IM17_70	Car net	20-11-2018	Non-destructive	15	6431.1	6641.5	5	5	10	9	210.4		03-01-2019			49.1					04-01-2019			
FilterG4_1		IM17_71	Filter	20-11-2018	Non-destructive	15					2	0.5			03-01-2019			too low					04-01-2019		All supernatant transferred for QS purification	
Filter541_1		IM17_72	Filter	20-11-2018	Non-destructive	15					2	1			03-01-2019			too low					04-01-2019			
FilterG4_2		IM17_73	Filter	20-11-2018	Non-destructive	15					2				03-01-2019			too low					04-01-2019		Lid not closed properly during lysing, a small amount was transferred for QS purification and no supernatant was retained	
ExBlank_20112018		IM17_74	ExBlank	20-11-2018	Non-destructive	15					2	2			03-01-2019			too low								
9AM6532																too low				2	05-12-2018				Troglodytes troglodytes, male, sampled twice	
9AM6530																				2	05-12-2018				Erithacus rubecula, male, sampled twice	
